"hole_id","from_m","to_m","lithology","alteration_type","alteration_intensity","mineral","mineral_style","mineral_percent","weathering","structure_type","notes"
"CDL-001","0.0","2.5","OVB","","","","","","CW","","Clayey soil with roots"
"CDL-001","2.5","14.0","AND","ARG","3","PY","DISS","1","CW","","Bleached, clay-altered andesite; limonite on fractures"
"CDL-001","14.0","31.5","AND","ARG","2","PY","DISS","2","HW","","Leached cap, boxwork after sulphides"
"CDL-001","31.5","48.0","AND","PHY","2","PY","VNL","3","MW","","Sericite-pyrite veinlets, weak quartz stockwork"
"CDL-001","48.0","75.2","PORP","PHY","3","PY","STK","4","SW","VEIN","Quartz-pyrite stockwork, 4 to 6 veins per metre"
"CDL-001","75.2","118.0","PORP","POT","2","CPY","STK","1.5","FR","","Biotite-magnetite alteration with chalcopyrite in quartz veinlets"
"CDL-001","118.0","121.4","BX","POT","3","BN","BXH","3","FR","","Hydrothermal breccia, bornite and chalcopyrite in matrix"
"CDL-001","121.4","170.3","PORP","POT","3","CPY","STK","2.5","FR","","Strong potassic core, dense quartz-chalcopyrite stockwork"
"CDL-001","170.3","171.0","PORP","CHL","3","","","","FR","FLT","Fault gouge, 0.7 m, some core loss"
"CDL-001","171.0","210.0","PORP","POT","2","MAG","VNL","3","FR","","Magnetite veinlets, minor chalcopyrite"
"CDL-001","210.0","248.6","DIO","POT","1","CPY","DISS","1","FR","","Equigranular diorite, disseminated chalcopyrite"
"CDL-001","248.6","276.0","DIO","PROP","2","PY","DISS","2","FR","","Chlorite-epidote alteration, trace pyrite"
"CDL-001","276.0","302.5","AND","EPI","2","PY","DISS","1","FR","","Epidote-chlorite altered andesite; end of hole"
"CDL-002","0.0","3.0","OVB","","","","","","CW","","Soil and colluvium"
"CDL-002","3.0","19.4","AND","ARG","3","PY","DISS","1","CW","","Clay-altered, iron-stained"
"CDL-002","19.4","36.0","AND","ARG","2","PY","VNL","2","HW","","Weathered, sulphides oxidised"
"CDL-002","36.0","60.5","AND","PHY","2","PY","VNL","3","MW","","Sericite-pyrite, thin quartz veinlets"
"CDL-002","60.5","92.0","PORP","PHY","2","CPY","VNL","1","SW","VEIN","Early quartz-chalcopyrite veins cut by pyrite veinlets"
"CDL-002","92.0","131.8","PORP","POT","2","CPY","STK","1.8","FR","","Potassic porphyry, chalcopyrite in stockwork"
"CDL-002","131.8","134.0","PORP","POT","2","","","","FR","SHR","Shear zone, chlorite-sericite on slickensides"
"CDL-002","134.0","176.5","PORP","POT","3","CPY","STK","2.2","FR","","Strong potassic alteration with molybdenite films"
"CDL-002","176.5","214.0","DIO","PROP","2","PY","DISS","2","FR","","Propylitic diorite, pyrite on fractures"
"CDL-002","214.0","251.0","AND","PROP","1","PY","DISS","1","FR","","Weakly altered andesite; end of hole"
"CDL-003","0.0","2.0","OVB","","","","","","CW","","Soil"
"CDL-003","2.0","17.8","TUF","ARG","3","","","","CW","","Clay-rich tuff, soft"
"CDL-003","17.8","40.2","AND","ARG","2","PY","DISS","1","HW","","Oxidised andesite, goethite on joints"
"CDL-003","40.2","66.0","AND","PHY","3","PY","STK","4","MW","","Pervasive sericite with pyrite stockwork"
"CDL-003","66.0","101.3","PORP","PHY","3","PY","STK","5","SW","","Phyllic overprint on porphyry"
"CDL-003","101.3","152.0","PORP","POT","2","CPY","STK","1.2","FR","","Chalcopyrite in quartz-magnetite veinlets"
"CDL-003","152.0","153.1","BX","POT","2","CPY","BXH","2","FR","","Narrow breccia zone, fragments of porphyry"
"CDL-003","153.1","198.7","PORP","POT","2","CPY","STK","1.6","FR","","Consistent chalcopyrite mineralisation"
"CDL-003","198.7","233.0","DIO","POT","1","MAG","VNL","2","FR","","Weakly altered diorite with magnetite veinlets"
"CDL-003","233.0","275.4","AND","PROP","2","PY","DISS","1","FR","","Propylitic andesite; end of hole"
"CDL-004","0.0","2.8","OVB","","","","","","CW","","Soil"
"CDL-004","2.8","22.5","AND","ARG","2","PY","DISS","1","CW","","Weathered andesite"
"CDL-004","22.5","45.0","AND","PHY","2","PY","VNL","2","MW","","Sericite-pyrite veinlets"
"CDL-004","45.0","83.6","AND","PHY","2","PY","STK","3","SW","","Quartz-pyrite veinlets, weak stockwork"
"CDL-004","83.6","119.0","PORP","POT","1","CPY","VNL","0.6","FR","","Weak potassic, sparse chalcopyrite"
"CDL-004","119.0","160.2","PORP","PHY","2","PY","VNL","2","FR","FRAC","Fractured zone, pyrite on fracture surfaces"
"CDL-004","160.2","196.0","DIO","PROP","2","PY","DISS","1","FR","","Chlorite-epidote altered diorite"
"CDL-004","196.0","230.8","AND","PROP","2","","","","FR","","Fresh propylitic andesite; end of hole"
"CDL-005","0.0","1.6","OVB","","","","","","CW","","Soil"
"CDL-005","1.6","15.0","AND","PROP","2","","","","HW","","Weathered propylitic andesite"
"CDL-005","15.0","58.4","AND","PROP","3","PY","DISS","1","MW","","Chlorite-epidote, pyrite on joints"
"CDL-005","58.4","74.0","TUF","CARB","2","","","","SW","CONT","Tuff contact with carbonate veinlets"
"CDL-005","74.0","128.5","AND","EPI","2","PY","DISS","1","FR","","Epidote-altered andesite"
"CDL-005","128.5","164.0","AND","PHY","1","CPY","VNL","0.3","FR","","Sparse chalcopyrite in quartz veinlets"
"CDL-005","164.0","198.2","DIO","PROP","2","PY","DISS","1","FR","","Diorite; end of hole"
"CDL-006","0.0","2.2","OVB","","","","","","CW","","Soil"
"CDL-006","2.2","24.0","AND","PROP","2","","","","HW","","Weathered andesite"
"CDL-006","24.0","71.5","AND","PROP","2","PY","DISS","1","SW","","Propylitic alteration, trace pyrite"
"CDL-006","71.5","112.0","BAS","CHL","2","","","","FR","","Fine-grained basaltic dyke, chloritised"
"CDL-006","112.0","160.0","AND","PROP","1","","","","FR","","Barren andesite; end of hole (outer halo)"
