"AGS_ID","Data_src","DH_name","Intrvl_top","Intrvl_btm","Intrvl_nt","Material","Rock_type","Litho_unit","Strat_unit","Intrvl_dsc","Compiler","Publisher"
"6165","MAR_20020002","200110-128","154.2","155.4","-9999","Core","Shale","decalcified shale","-9999","Unit: Waterways; Description: medium grey declacified shale, water sand above unconf; Structure: horiz bdng; Sulphides/oxides: rare py nods, round, to 7 mm, py in lamns to 1-2 mm thick parallel bdng, 1%","Purple Rock Inc.","Alberta Geological Survey"
"6166","MAR_20020002","200110-128","155.4","157.7","-9999","Core","Shale","limey shale","-9999","Unit: Waterways; Description: medium grey limey shale, missing core from 156.6 to 157.6; Structure: horiz bdng, one fract at 45 degs wo offset, partially healed with py blobs; Sulphides/oxides: py blobs in fracts to 2 mm thick, discts along fract, round to oval py blobs to 3 cm x 1 cm long, rare","Purple Rock Inc.","Alberta Geological Survey"
"6167","MAR_20020002","200110-128","157.7","158.3","-9999","Core","Limestone","fossiliferous limestone","-9999","Unit: Waterways; Description: light grey to medium grey fossil ls with common brach shells and rare crins slems; Structure: msv; Sulphides/oxides: 1% py cubies to 1-2 mm with slly irreg shapes, <1% pyrr in irreg laths","Purple Rock Inc.","Alberta Geological Survey"
"6168","MAR_20020002","200110-128","158.3","159.7","-9999","Core","-9999","bedded limestone and shale","-9999","Unit: Waterways; Description: bedded light grey ls to 2 cm thick with medium grey limey shale beds to 3-4 cm thick; Structure: horiz bdng; Sulphides/oxides: rare to 1 % irreg pyrr growths along vert to subvert fracts in ls beds to 2 cm long x 1-2 mm","Purple Rock Inc.","Alberta Geological Survey"
"6169","MAR_20020002","200110-129","146","147.6","-9999","Core","Shale","decalcified shale","-9999","Unit: Waterways; Description: med grey decal shale, 2- 1.5cm It grey decal lms bed with rare lams of lms to 1mm, core smells bad!!!, K-bedded watersand with shale; Structure: horiz bedding; Sulphides/oxides: py blebs to 4cm x 1.5cm, oval shape, lim altn, rare disem py throughout, poss pyrr, slight to mod sid altn over 40cm","Purple Rock Inc.","Alberta Geological Survey"
"6170","MAR_20020002","200110-129","147.6","150.2","-9999","Core","Shale","limey shale","-9999","Unit: Waterways; Description: med grey limey shale with occasional lms lams to beds 1 mm to 2cm, m/c 148.4-148.71; Structure: horiz bedding; Sulphides/oxides: rare ovals of py to 4mm x 1mm some with sid altn halos, irreg py to 5mm in lms (giving the finger to kyla)","Purple Rock Inc.","Alberta Geological Survey"
"6171","MAR_20020002","200110-129","150.2","150.8","-9999","Core","Limestone","fossiliferous limestone","-9999","Unit: Waterways; Description: lt grey fossiliferous lms, brchs, crins, shaley matrix; Sulphides/oxides: intersticial py irreg to roundish, rare oval py bleb to 2mm","Purple Rock Inc.","Alberta Geological Survey"
"6172","MAR_20020002","200110-133","128.7","128.8","-9999","Core","Sandstone","pyrite sandstone","-9999","Unit: Waterways; Description: pyss to py cglm w qz cl; Structure: msv; Sulphides/oxdies: py as cement","Purple Rock Inc.","Alberta Geological Survey"
"6173","MAR_20020002","200110-133","128.8","129.3","-9999","Core","Shale","decalcified shale","-9999","Unit: Waterways; Description: dark greyto medium grey decalcified shale; Structure: horiz bdng; Sulphides/oxdies: py nods to 5 mm wide to 2 cm long in top 10 cm, then interval 30 cm thick with vfg dissem py to 50%, dark grey colour, then shale with nods of py to 1 mm and ass slight side altn","Purple Rock Inc.","Alberta Geological Survey"
"6174","MAR_20020002","200110-133","129.3","129.5","-9999","Core","Shale","limey shale","-9999","Unit: Waterways; Description: medium grey brown limey shale; Structure: horiz bdng; Sulphides/oxides: rare py ovals to 2 mm long","Purple Rock Inc.","Alberta Geological Survey"
"6175","MAR_20020002","200110-133","129.5","129.9","-9999","Core","-9999","lost core","-9999","Unit: Waterways; Description: missing core","Purple Rock Inc.","Alberta Geological Survey"
"6176","MAR_20020002","200110-133","129.9","131.9","-9999","Core","Limestone","nodular limestone","-9999","Unit: Waterways; Description: missing core from 130.82 to 131.1m, light grey to slly blue grey nods of non fossil ls with medium grey tan wispy shale matrix; Structure: irreg subvert to vert 1-2 cm long fracts in ls nods, healed; Sulphides/oxides: fracts in ls healed with <1 to 1 mm py, in some places horiz nods to 2 cm x 4 mm long, rare","Purple Rock Inc.","Alberta Geological Survey"
"6177","MAR_20020002","200134-001","127.5","128.8","-9999","Core","Shale","decalcified shale","-9999","Unit: Waterways; Description: 2 cm of py ss - not sampled sep because so small, medium grey to light grey decakified shale; Structure: horiz bdng; Sulphides/oxides: 1% discts lamns of py with lim altn, 1 % py ovals to 1 cm x 4 mm with side and lim altn haloes","Purple Rock Inc.","Alberta Geological Survey"
"6178","MAR_20020002","200134-001","128.8","128.9","-9999","Core","Shale","fossiliferous limey shale","-9999","Unit: Waterways; Description: medium grey limey shale with white fossils (prob crins and brachs); Structure: horiz bdng; Sulphides/oxides: 3 irreg lamns of py to 2 mm thick, rare py nods to 2 mm roundish","Purple Rock Inc.","Alberta Geological Survey"
"6179","MAR_20020002","200134-001","128.9","129.3","-9999","Core","Limestone","fossiliferous nodular limestone","-9999","Unit: Waterways; Description: light grey to medium grey fossil ls with common brachs and minor crins; Structure: msv; Sulphides/oxdies: top 7 cm have py cement in matrix such that the lower 5 cm of this bit are almost 75% py","Purple Rock Inc.","Alberta Geological Survey"
"6180","MAR_20020002","200134-001","129.3","130.4","-9999","Core","-9999","bedded limestone and shale","-9999","Unit: Waterways; Description: medium grey limey shale to 2-3 cm thick interbedded with light grey non fossil ls to 2 cm thick; Structure: horiz bdng some of ls nods are fract with vert to subvert fracts; Sulphides/oxdies: fracts in Is nods are all filled with 1 mm thick to <1mm thick py, irreg, 1 barite vnlt to 2 mm thick","Purple Rock Inc.","Alberta Geological Survey"
"6181","MAR_20020002","200134-001","130.4","131.4","-9999","Core","-9999","bedded limestone and shale","-9999","Unit: Waterways; Description: medium grey limey shale to 4 cm thick bedded with light grey non fossil Is to 1 cm thick with decr thickness to 5 mm near base of unit; Structure: horiz bndg; Sulphides/oxides: 2 bar vnlts to 2-3 mm thick, very rare py nods to 1 mm","Purple Rock Inc.","Alberta Geological Survey"
"6182","MAR_20020002","200134-001","131.4","132.9","-9999","Core","-9999","bedded nodular limestone and shale","-9999","Unit: Waterways; Description: 80 cm of nod light grey non fossil ls to 10 cm with matri/beds of medium grey limey shale to 1 cm thick with shale incr down to base of unit; Structure: horiz bndg; Sulphides/oxides: very rare py cubes to 1 mm, rare py in vrects in ls to <1mm thick, irreg","Purple Rock Inc.","Alberta Geological Survey"
"6183","MAR_20020002","200134-006","67.25","69.19","-9999","Core","Shale","decalcified shale","-9999","Unit: Waterways; Description: med to It grey decal sgale; Structure: some bed disruption near base of unit but this is prob due to drilling; Sulphides/oxides: in top 15cm, 1- 5cm drk grey beds with vfg dissem py <<1mm, in next 65cm has 5% feather like blebs of pyrr?, blebs to 4cmx6mm some with sid halos and lim altn","Purple Rock Inc.","Alberta Geological Survey"
"6184","MAR_20020002","200134-006","69.19","69.37","-9999","Core","Shale","limey shale","-9999","Unit: Waterways; Description: lt grey limey shale; Structure: horiz bedding; Sulphides/oxides: 1 py oval >1.5 cm","Purple Rock Inc.","Alberta Geological Survey"
